tract_id,entropy,p1,p2,p3
828,0.6944039228526392,0.7283950448036194,0.09876543283462524,0.17283950746059418
829,0.9926767475653777,0.39393940567970276,0.3030303120613098,0.3030303120613098
830,0.6600877435891439,0.7111111283302307,0.04444444552063942,0.24444444477558136
831,0.6037557450565606,0.3076923191547394,0.009999999776482582,0.692307710647583
832,0.9653417100030431,0.42424243688583374,0.21212121844291687,0.3636363744735718
833,0.8511755147360508,0.2631579041481018,0.5964912176132202,0.14035087823867798
834,0.9656761346532907,0.2613636255264282,0.46590909361839294,0.27272728085517883
835,0.989168109971038,0.4017857015132904,0.2767857015132904,0.3214285671710968
836,0.9368137248077361,0.21568627655506134,0.27450981736183167,0.5098039507865906
837,0.8038587670848817,0.625,0.2708333432674408,0.1041666641831398
838,0.08383612698161111,1.0,0.009999999776482582,0.009999999776482582
839,0.7037511026779557,0.71875,0.1875,0.09375
840,0.8506307454444973,0.1881188154220581,0.19801980257034302,0.6138613820075989
841,0.9803683579070773,0.31683167815208435,0.2574257552623749,0.42574256658554077
842,0.7953758612177811,0.6206896305084229,0.09195402264595032,0.28735631704330444
843,0.9815272337229903,0.24731183052062988,0.40860214829444885,0.34408602118492126
844,0.8633178856679141,0.540229856967926,0.1149425283074379,0.3448275923728943
845,0.9031076372366538,0.5585585832595825,0.22522522509098053,0.21621622145175934
846,0.7190434347987749,0.4939759075641632,0.4819277226924896,0.024096384644508362
847,0.9654013899373832,0.2666666805744171,0.46666666865348816,0.2666666805744171
848,0.651860050823076,0.7419354915618896,0.06451612710952759,0.19354838132858276
849,0.6570910513224707,0.7567567825317383,0.10810811072587967,0.13513512909412384
850,0.8537343733026108,0.4038461446762085,0.09615384787321091,0.5
851,0.9525965717343449,0.29518070816993713,0.22289156913757324,0.4819277226924896
852,0.9516104422011036,0.27210885286331177,0.2380952388048172,0.4897959232330322
853,0.9847433311300922,0.3863636255264282,0.3636363744735718,0.25
854,0.26136610226299717,0.9347826242446899,0.009999999776482582,0.06521739065647125
855,0.9398284295636828,0.49065420031547546,0.1962616890668869,0.31308412551879883
856,0.5537775436062523,0.75,0.25,0.009999999776482582
857,0.8508848192013289,0.12280701845884323,0.2982456088066101,0.5789473652839661
858,0.5537775978607381,0.009999999776482582,0.75,0.25
859,0.9795670191523472,0.38181817531585693,0.23636363446712494,0.38181817531585693
860,0.9891203660235659,0.2639999985694885,0.3840000033378601,0.35199999809265137
